state,id,2010,2011,2012,2013,2014,2015
AK,2,1554,1456,1973,1259,1883,1275
AL,1,3072,2900,3626,2492,3393,2684
AR,5,2864,2565,3438,2277,3356,2290
AZ,4,2171,2065,2548,1865,2421,1878
CA,6,2601,2477,2872,2162,2756,2259
CO,8,1918,1819,2385,1632,2269,1672
CT,9,3308,3046,3497,2788,3374,2854
DC,11,3114,3109,3439,2498,3173,2740
DE,10,2984,2731,3261,2439,3143,2481
FL,12,3423,3258,3659,2808,3485,2921
GA,13,3297,3011,3678,2576,3421,2805
HI,15,2370,2294,2499,1921,2417,2005
IA,19,2285,2136,3060,1715,2619,1986
ID,16,1324,1195,2171,1029,1979,1099
IL,17,2699,2511,3122,2256,2977,2345
IN,18,2924,2688,3504,2205,3281,2405
KS,20,2634,2550,3628,2141,3396,2215
KY,21,2763,2539,3264,2132,3160,2290
LA,22,3142,2941,3783,2552,3512,2722
MA,25,3430,3300,3554,3016,3454,3090
MD,24,3151,2982,3388,2631,3293,2727
ME,23,2727,2532,3378,2267,3175,2399
MI,26,2903,2686,3396,2093,3182,2389
MN,27,2553,2254,3296,1839,2992,2037
MO,29,2531,2357,3143,1984,3004,2119
MS,28,2833,2723,3533,2282,3236,2484
MT,30,960,886,1889,830,1747,840
NC,37,3055,2868,3312,2320,3166,2615
ND,38,1044,1005,2032,901,1902,946
NE,31,2413,2335,2479,1939,2264,2186
NH,33,3042,2809,3391,2606,3198,2661
NJ,34,3271,3096,3443,2813,3356,2893
NM,35,2436,2137,3063,1937,2797,1991
NV,32,2435,2291,2864,2103,2691,2094
NY,36,3103,2966,3401,2723,3302,2785
OH,39,2857,2660,3177,2151,3033,2452
OK,40,2666,2406,3588,2269,3238,2206
OR,41,1901,1756,2512,1485,2358,1626
PA,42,2606,2463,2969,2104,2866,2253
RI,44,3270,3062,3355,2657,3216,2834
SC,45,2761,2529,3226,2120,3027,2330
SD,46,990,918,2022,850,1819,866
TN,47,2914,2671,3374,2221,3268,2438
TX,48,2731,2454,3431,2121,3174,2234
UT,49,1899,1791,2545,1623,2401,1638
VA,51,2594,2417,2923,2079,2819,2234
VT,50,2436,2380,2803,2132,2691,2257
WA,53,2245,2076,2661,1799,2550,1989
WI,55,2630,2411,3289,2014,2858,2242
WV,54,2440,2202,3088,1870,2972,2039
WY,56,1016,982,1862,914,1695,917
